"代碼","名稱","市場","最新價","漲跌額","漲跌幅","5分鐘漲跌幅","60日漲跌幅","年初至今","買入價","賣出價","買量","賣量","成交量","成交額","股息率TTM","開市","前收","最高","最低","換手率","漲跌速率","振幅","市盈率TTM","市盈率(靜)","市淨率","量比","委比","盤前價","盤後價","夜盤價","盤前漲跌幅","盤後漲跌幅","夜盤漲跌幅","盤前額","盤後額","盤前振幅","盤後振幅","盤前漲跌額","盤後漲跌額","夜盤漲跌額","市值","流通值","總股本","流通股","5日漲跌幅","10日漲跌幅","20日漲跌幅","120日漲跌幅","250日漲跌幅","所屬行業","道瓊斯指數相關性","納斯達克100相關性","標普500相關性","羅素2000相關性","費城半導體指數相關性","VIX指數相關性","恒生指數相關性","恒生科技指數相關性","富時中國50指數相關性","滬深300相關性","富時中國A50指數相關性","日經225相關性","TOPIX指數相關性","富時海峽指數相關性","大馬綜合指數相關性","TSX相關性","ASX200相關性","期權總成交","期權總持倉","正股IV","正股HV","正股IV-正股HV","IV等級","IV百分位數","行使價","到期日","未平倉數量","溢價","引伸波幅","Delta","Gamma","Theta","Vega","Rho","距離到期日","內在價值","時間價值","槓桿比率","有效槓桿","盈虧平衡點","達到盈虧平衡","盈利概率"
"MSTR.US","Strategy","美股","154.200","-5.730","-3.58%","-0.18%","+12.02%","+1.48%","152.000","152.010","1300","100","11885089","1846132139","0.000%","156.760","159.930","157.550","153.822","3.60%","0.05%","2.33%","虧損","虧損","1.47","1.06","85.71%","156.370","152.000","149.530","-2.23%","-1.43%","-3.03%","81431344","90429177","2.70","1.82","-3.560","-2.200","-4.670","54039061862","50881588646","350447872","329971392","-6.34%","-16.39%","-6.95%","-14.96%","-57.67%","應用軟件","0.34","0.51","0.48","0.49","0.44","-0.38","-","-","-","-","-","-","-","-","-","-","-","315593","2500736","68.35%","63.63%","4.72%","17","23%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ASX.US","日月光半導體","美股","39.070","+0.120","+0.31%","-0.04%","+61.45%","+142.67%","39.130","39.650","300","100","12203753","478357114","0.830%","40.120","38.950","40.480","38.180","0.76%","-0.04%","5.91%","60.29","70.14","7.81","1.20","50.00%","40.250","39.321","39.770","+3.34%","+0.64%","+1.79%","25113102","17689380","6.62","2.74","+1.300","+0.251","+0.700","87140949335","62721611292","2230380070","1605365019","+26.48%","+13.97%","+29.89%","+155.86%","+319.86%","半導體","0.39","0.65","0.58","0.51","0.76","-0.48","-","-","-","-","-","-","-","-","-","-","-","12663","67339","78.52%","61.95%","16.58%","43","82%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"APLD.US","Applied Digital","美股","48.980","+3.840","+8.51%","+0.14%","+75.37%","+99.76%","48.660","48.720","100","100","25807693","1211179641","0.000%","45.240","45.140","49.350","43.680","10.17%","-0.11%","12.56%","虧損","虧損","8.85","0.98","0.00%","45.130","48.600","48.310","-0.02%","-0.78%","-1.37%","24323157","19783441","2.72","1.71","-0.010","-0.380","-0.670","13996992020","12434235063","285769539","253863517","+33.75%","+11.50%","+52.54%","+74.62%","+573.73%","資訊技術服務","0.33","0.48","0.46","0.46","0.49","-0.33","-","-","-","-","-","-","-","-","-","-","-","136762","797610","106.13%","118.10%","-11.97%","42","31%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"PLTR.US","Palantir","美股","132.510","-4.090","-2.99%","-0.20%","-8.72%","-25.45%","132.850","132.930","9900","100","34159784","4554032964","0.000%","133.300","136.600","135.730","131.630","1.58%","-0.05%","3.00%","148.89","210.33","37.59","1.15","98.00%","133.340","132.920","133.180","-2.39%","+0.31%","+0.51%","225630387","327324794","2.09","0.72","-3.260","+0.410","+0.670","317667810072","286940236580","2397311977","2165423263","-2.03%","-2.57%","-6.14%","-22.37%","+7.07%","基礎設施軟件","0.37","0.56","0.53","0.43","0.40","-0.47","-","-","-","-","-","-","-","-","-","-","-","420584","3565947","49.73%","38.89%","10.84%","15","5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"NBIS.US","NEBIUS","美股","208.370","+0.310","+0.15%","+0.25%","+128.95%","+148.93%","233.160","233.600","200","100","13981092","2935557331","0.000%","207.785","208.060","209.640","198.310","6.71%","0.08%","5.45%","71.36","631.42","7.31","0.74","33.33%","207.820","233.600","229.680","-0.12%","+12.11%","+10.23%","88055170","691607475","2.48","15.78","-0.240","+25.230","+21.310","52904766684","43439066639","253898194","208470829","+5.38%","+16.34%","+53.77%","+116.04%","+426.19%","互聯網內容與資訊","0.27","0.47","0.42","0.45","0.50","-0.35","-","-","-","-","-","-","-","-","-","-","-","134208","951922","104.98%","115.49%","-10.51%","74","81%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CRWD.US","CrowdStrike","美股","645.360","-26.190","-3.90%","+0.14%","+67.69%","+37.67%","647.200","649.200","40","80","3276362","2119407935","0.000%","641.010","671.550","660.660","633.090","1.34%","-0.07%","4.11%","虧損","虧損","37.09","0.99","-33.33%","641.290","649.340","647.360","-4.51%","+0.62%","+0.31%","119058466","50609706","2.35","1.04","-30.260","+3.980","+2.000","164267689193","157685735478","254536521","244337634","+4.62%","+18.16%","+41.84%","+24.94%","+37.65%","基礎設施軟件","0.34","0.56","0.51","0.40","0.42","-0.43","-","-","-","-","-","-","-","-","-","-","-","38411","385420","60.65%","41.98%","18.66%","77","93%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"TER.US","泰瑞達","美股","375.830","-13.310","-3.42%","-0.19%","+15.39%","+94.32%","373.000","375.000","480","4720","3280944","1239531220","0.130%","402.130","389.140","406.650","365.045","2.10%","0.03%","10.69%","69.73","108.31","18.71","0.95","-81.54%","405.000","374.010","370.580","+4.08%","-0.48%","-1.40%","93200502","30171687","7.71","1.85","+15.860","-1.820","-5.250","58833240744","58708014940","156542162","156208964","+16.94%","+4.89%","-1.09%","+98.03%","+369.52%","半導體設備與材料","0.47","0.67","0.64","0.60","0.81","-0.52","-","-","-","-","-","-","-","-","-","-","-","7220","65399","75.36%","111.00%","-35.64%","75","90%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ADBE.US","Adobe","美股","238.240","-2.250","-0.94%","+0.07%","-8.68%","-31.93%","239.700","240.200","120","80","3408880","817753949","0.000%","237.760","240.490","244.240","237.280","0.85%","-0.05%","2.89%","13.88","14.27","8.42","0.78","20.00%","237.540","239.920","240.540","-1.23%","+0.71%","+0.97%","12678465","27453070","1.66","1.18","-2.950","+1.680","+2.300","96296608000","95984727063","404200000","402890896","-6.57%","-1.08%","-2.04%","-26.20%","-42.21%","應用軟件","0.40","0.37","0.38","0.28","0.20","-0.40","-","-","-","-","-","-","-","-","-","-","-","34161","616404","57.74%","32.97%","24.77%","89","99%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ORCL.US","甲骨文","美股","190.960","-2.100","-1.09%","+0.17%","+28.39%","-1.42%","191.640","192.100","2500","100","12125998","2305436287","1.050%","191.480","193.060","192.140","187.916","0.71%","0.12%","2.19%","34.28","44.00","16.37","0.87","92.31%","191.210","191.956","192.220","-0.96%","+0.52%","+0.66%","56297212","127331426","0.93","1.19","-1.850","+0.996","+1.260","549209744160","325812890720","2876046000","1706183969","+5.24%","+2.21%","+15.06%","-4.46%","+17.71%","基礎設施軟件","0.38","0.55","0.54","0.46","0.48","-0.43","-","-","-","-","-","-","-","-","-","-","-","151471","2310811","69.18%","46.58%","22.59%","77","85%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ARM.US","Arm Holdings","美股","302.710","-18.510","-5.76%","-0.07%","+143.39%","+176.93%","301.610","304.000","500","200","9356318","2875633128","0.000%","320.535","321.220","323.770","300.880","6.89%","-0.19%","7.13%","356.13","356.13","39.02","0.61","42.86%","320.990","302.000","303.570","-0.07%","-0.23%","+0.28%","76437796","73310187","2.18","1.42","-0.230","-0.710","+0.860","323318121440","41106708477","1068078760","135795674","+35.65%","+45.59%","+52.38%","+121.80%","+123.34%","半導體","0.44","0.65","0.62","0.51","0.70","-0.53","-","-","-","-","-","-","-","-","-","-","-","99113","838178","89.66%","110.72%","-21.06%","86","98%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
