"代碼","名稱","市場","最新價","漲跌額","漲跌幅","5分鐘漲跌幅","60日漲跌幅","年初至今","買入價","賣出價","買量","賣量","成交量","成交額","股息率TTM","開市","前收","最高","最低","換手率","漲跌速率","振幅","市盈率TTM","市盈率(靜)","市淨率","量比","委比","盤前價","盤後價","夜盤價","盤前漲跌幅","盤後漲跌幅","夜盤漲跌幅","盤前額","盤後額","盤前振幅","盤後振幅","盤前漲跌額","盤後漲跌額","夜盤漲跌額","市值","流通值","總股本","流通股","5日漲跌幅","10日漲跌幅","20日漲跌幅","120日漲跌幅","250日漲跌幅","所屬行業","道瓊斯指數相關性","納斯達克100相關性","標普500相關性","羅素2000相關性","費城半導體指數相關性","VIX指數相關性","恒生指數相關性","恒生科技指數相關性","富時中國50指數相關性","滬深300相關性","富時中國A50指數相關性","日經225相關性","TOPIX指數相關性","富時海峽指數相關性","大馬綜合指數相關性","TSX相關性","ASX200相關性","期權總成交","期權總持倉","正股IV","正股HV","正股IV-正股HV","IV等級","IV百分位數","行使價","到期日","未平倉數量","溢價","引伸波幅","Delta","Gamma","Theta","Vega","Rho","距離到期日","內在價值","時間價值","槓桿比率","有效槓桿","盈虧平衡點","達到盈虧平衡","盈利概率"
"NASA.US","Tema Space Innovators ETF","美股","41.890","+0.280","+0.67%","-0.04%","+73.82%","+73.82%","41.900","41.990","800","200","20632347","869593419","0.000%","42.430","41.610","42.470","40.710","55.08%","-0.05%","4.23%","--","--","1.02","1.89","60.00%","42.440","41.910","41.760","+1.99%","+0.05%","-0.31%","181232065","65180396","6.25","1.62","+0.830","+0.020","-0.130","1569199400","1569199400","37460000","37460000","+17.17%","+24.97%","+48.23%","+73.82%","+73.82%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","26989","68075","110.49%","56.11%","54.38%","100","100%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"PL.US","Planet Labs PBC","美股","50.480","+2.160","+4.47%","+0.70%","+91.50%","+155.98%","50.000","50.420","1100","300","15439231","768226852","0.000%","50.100","48.320","50.980","47.110","5.16%","0.24%","8.01%","虧損","虧損","95.43","1.50","57.14%","50.240","50.078","49.700","+3.97%","-0.80%","-1.55%","66102373","37140592","7.82","1.47","+1.920","-0.402","-0.780","17990728534","15109343663","356393196","299313464","+21.38%","+24.09%","+44.11%","+328.89%","+1165.16%","航空航天與國防","0.39","0.45","0.46","0.58","0.44","-0.42","-","-","-","-","-","-","-","-","-","-","-","18974","240291","134.55%","83.58%","50.97%","60","98%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"DXYZ.US","Destiny Tech100","美股","53.280","-6.930","-11.51%","+0.79%","+89.47%","+73.95%","54.450","54.750","100","500","7217333","406854597","0.000%","59.410","60.210","59.650","52.600","32.90%","1.01%","11.71%","26.47","26.47","2.67","0.81","-66.67%","59.710","54.689","54.360","-0.83%","+2.64%","+2.03%","41142823","13027695","8.86","3.42","-0.500","+1.409","+1.080","1170897530","1168899530","21976305","21938805","+9.90%","-0.22%","+82.53%","+128.18%","+22.65%","資產管理","0.33","0.49","0.47","0.44","0.45","-0.41","-","-","-","-","-","-","-","-","-","-","-","0","0","-","80.01%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RKLB.US","Rocket Lab","美股","150.230","+7.030","+4.91%","+0.07%","+111.68%","+115.35%","148.600","149.000","200","300","29193281","4280208526","0.000%","149.720","143.200","151.000","137.910","5.41%","-0.21%","9.14%","虧損","虧損","38.40","0.96","-20.00%","149.720","148.600","146.600","+4.55%","-1.09%","-2.42%","441868163","84127694","6.38","1.70","+6.520","-1.630","-3.630","86963260769","81014008398","578867475","539266514","+18.00%","+27.79%","+91.16%","+258.54%","+419.29%","航空航天與國防","0.40","0.48","0.49","0.56","0.44","-0.43","-","-","-","-","-","-","-","-","-","-","-","151042","999626","106.30%","130.30%","-24.00%","84","95%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ASTS.US","AST SpaceMobile","美股","129.600","+9.900","+8.27%","-0.53%","+49.10%","+78.44%","126.780","127.200","3100","100","36427622","4612826694","0.000%","124.000","119.700","131.200","118.040","13.73%","-0.10%","10.99%","虧損","虧損","18.62","1.20","93.75%","124.010","126.990","124.830","+3.60%","-2.01%","-3.68%","263662613","507657314","4.85","2.63","+4.310","-2.610","-4.770","50300944531","34389519408","388124572","265351230","+47.11%","+77.63%","+80.30%","+127.81%","+423.00%","通訊設備","0.33","0.39","0.39","0.48","0.41","-0.34","-","-","-","-","-","-","-","-","-","-","-","297885","1217265","122.03%","119.29%","2.74%","79","96%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SPIR.US","Spire Global","美股","25.480","+1.730","+7.28%","+0.43%","+179.39%","+239.73%","25.400","25.500","100","200","2907521","72091665","0.000%","24.530","23.750","25.930","23.200","9.24%","-0.59%","11.50%","16.03","17.10","10.81","1.79","-33.33%","24.450","25.590","25.250","+2.95%","+0.43%","-0.90%","2598580","647417","7.37","2.72","+0.700","+0.110","-0.230","1024776910","801867397","40218874","31470463","+33.19%","+44.44%","+59.75%","+224.59%","+136.58%","專業商務服務","0.35","0.38","0.41","0.51","0.36","-0.33","-","-","-","-","-","-","-","-","-","-","-","2882","29827","123.83%","114.73%","9.10%","87","99%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"VOYG.US","Voyager Technologies","美股","48.590","+2.150","+4.63%","+0.60%","+72.86%","+85.88%","48.000","48.970","300","100","4479311","217882850","0.000%","47.100","46.440","50.500","45.800","9.82%","-0.03%","10.12%","虧損","虧損","8.06","1.52","50.00%","46.900","48.124","48.000","+0.99%","-0.96%","-1.21%","7781355","16151981","9.47","1.70","+0.460","-0.467","-0.590","2879547723","2217603140","59262147","45639085","+29.33%","+66.40%","+82.53%","+123.81%","+56.74%","航空航天與國防","0.38","0.44","0.45","0.59","0.44","-0.38","-","-","-","-","-","-","-","-","-","-","-","6420","44608","118.60%","98.24%","20.36%","100","100%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"LUNR.US","Intuitive Machines","美股","40.340","+5.480","+15.72%","-0.43%","+124.24%","+148.55%","39.500","39.880","1000","100","29817945","1165085975","0.000%","38.020","34.860","40.700","35.330","26.84%","0.12%","15.40%","虧損","虧損","虧損","1.45","81.82%","37.900","39.900","39.710","+8.72%","-1.09%","-1.56%","174129775","28608654","12.82","3.32","+3.040","-0.440","-0.630","8754625083","4481804457","217020949","111100755","+24.28%","+25.71%","+64.12%","+328.24%","+229.58%","航空航天與國防","0.38","0.42","0.44","0.56","0.39","-0.38","-","-","-","-","-","-","-","-","-","-","-","64117","350826","127.02%","121.34%","5.68%","77","91%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"RDW.US","Redwire","美股","24.000","+1.960","+8.89%","-0.36%","+152.10%","+215.79%","23.000","23.030","300","8400","121289224","2908780037","0.000%","24.310","22.040","24.920","22.130","61.80%","-0.06%","12.66%","虧損","虧損","4.39","1.90","-93.10%","24.310","23.000","23.170","+10.30%","-4.17%","-3.46%","500481450","70882102","18.78","5.25","+2.270","-1.000","-0.830","4774049472","4710368880","198918728","196265370","+72.54%","+107.61%","+165.49%","+359.77%","+54.94%","航空航天與國防","0.41","0.42","0.44","0.56","0.40","-0.38","-","-","-","-","-","-","-","-","-","-","-","134060","470618","152.92%","138.85%","14.07%","100","100%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"FLY.US","Firefly Aerospace","美股","57.280","-1.530","-2.60%","+0.54%","+173.80%","+156.06%","57.310","57.990","100","100","11663818","685481806","0.000%","58.670","58.810","62.150","55.250","10.59%","0.14%","11.73%","虧損","虧損","8.31","1.43","0.00%","58.510","57.550","56.790","-0.51%","+0.47%","-0.86%","66666606","10833933","10.20","2.85","-0.300","+0.270","-0.490","9178273230","6311674780","160235217","110189853","+34.55%","+45.68%","+67.41%","+220.00%","+27.29%","航空航天與國防","0.32","0.34","0.37","0.51","0.29","-0.30","-","-","-","-","-","-","-","-","-","-","-","23866","173088","128.89%","122.11%","6.79%","80","85%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"SPCE.US","維珍銀河","美股","3.790","+0.280","+7.98%","+1.74%","+45.77%","+18.07%","3.760","3.790","2600","100","33893145","125283044","0.000%","3.710","3.510","3.885","3.470","32.51%","-0.40%","11.82%","虧損","虧損","1.77","1.59","92.59%","3.729","3.761","3.700","+6.24%","-0.78%","-2.37%","12593313","3331318","11.11","6.60","+0.219","-0.030","-0.090","395872981","395154534","104451974","104262410","+51.60%","+35.84%","+59.24%","-2.82%","+10.82%","航空航天與國防","0.38","0.37","0.41","0.53","0.37","-0.35","-","-","-","-","-","-","-","-","-","-","-","91067","534178","168.99%","117.94%","51.05%","30","96%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
