"代碼","名稱","市場","最新價","漲跌額","漲跌幅","5分鐘漲跌幅","60日漲跌幅","年初至今","買入價","賣出價","買量","賣量","成交量","成交額","股息率TTM","開市","前收","最高","最低","換手率","漲跌速率","振幅","市盈率TTM","市盈率(靜)","市淨率","量比","委比","盤前價","盤後價","夜盤價","盤前漲跌幅","盤後漲跌幅","夜盤漲跌幅","盤前額","盤後額","盤前振幅","盤後振幅","盤前漲跌額","盤後漲跌額","夜盤漲跌額","市值","流通值","總股本","流通股","5日漲跌幅","10日漲跌幅","20日漲跌幅","120日漲跌幅","250日漲跌幅","所屬行業","道瓊斯指數相關性","納斯達克100相關性","標普500相關性","羅素2000相關性","費城半導體指數相關性","VIX指數相關性","恒生指數相關性","恒生科技指數相關性","富時中國50指數相關性","滬深300相關性","富時中國A50指數相關性","日經225相關性","TOPIX指數相關性","富時海峽指數相關性","大馬綜合指數相關性","TSX相關性","ASX200相關性","期權總成交","期權總持倉","正股IV","正股HV","正股IV-正股HV","IV等級","IV百分位數","行使價","到期日","未平倉數量","溢價","引伸波幅","Delta","Gamma","Theta","Vega","Rho","距離到期日","內在價值","時間價值","槓桿比率","有效槓桿","盈虧平衡點","達到盈虧平衡","盈利概率"
"DRAM.US","Roundhill Memory ETF","美股","60.730","+0.220","+0.36%","-0.17%","+124.93%","+124.93%","59.500","59.750","100","500","42342144","2576262183","0.000%","62.440","60.510","62.680","59.050","21.09%","-0.16%","6.00%","--","--","1.05","1.33","-66.67%","62.560","59.718","60.330","+3.39%","-1.67%","-0.66%","392192206","54267026","4.21","3.11","+2.050","-1.013","-0.400","12193976700","12193976700","200790000","200790000","+22.02%","+18.38%","+62.68%","+124.93%","+124.93%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","171843","1095575","92.20%","88.21%","3.99%","90","91%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"NVTS.US","納微半導體","美股","28.880","-2.910","-9.15%","+0.21%","+202.41%","+304.48%","28.900","29.000","1300","2800","36165568","1069298042","0.000%","31.810","31.790","31.940","28.365","18.01%","-0.37%","11.25%","虧損","虧損","16.07","0.89","-36.59%","31.739","28.913","28.660","-0.16%","+0.11%","-0.76%","33642768","13961357","3.90","1.77","-0.051","+0.033","-0.220","6749636234","5799468985","233713166","200812638","+48.64%","+50.03%","+91.01%","+247.12%","+368.83%","半導體","0.35","0.47","0.46","0.52","0.54","-0.39","-","-","-","-","-","-","-","-","-","-","-","61624","500546","141.77%","178.87%","-37.10%","58","91%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CRWV.US","CoreWeave","美股","104.270","-1.620","-1.53%","+0.20%","+33.59%","+45.61%","105.410","105.550","100","1000","24155028","2470590452","0.000%","105.110","105.890","105.550","99.600","7.88%","-0.01%","5.62%","虧損","虧損","11.90","0.94","-81.82%","105.060","105.500","103.550","-0.78%","+1.18%","-0.69%","49002022","146825727","2.02","2.83","-0.830","+1.230","-0.720","56615174512","31984746070","542967052","306749267","+4.47%","-3.23%","-1.19%","+37.14%","-10.23%","基礎設施軟件","0.27","0.45","0.40","0.39","0.44","-0.26","-","-","-","-","-","-","-","-","-","-","-","180475","1904140","89.70%","86.34%","3.35%","22","29%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"TSM.US","台積電","美股","422.730","+10.410","+2.52%","-0.15%","+14.84%","+39.49%","420.120","421.540","40","200","14695620","6212858756","0.760%","427.015","412.320","430.550","415.382","0.32%","0.09%","3.68%","35.72","40.59","11.70","1.44","-66.67%","426.430","421.500","413.510","+3.42%","-0.29%","-2.18%","493233530","124664759","4.60","0.93","+14.110","-1.230","-9.220","2192491218068","1975005168832","5186504904","4672025096","+7.67%","+6.41%","+7.75%","+45.50%","+118.16%","半導體","0.39","0.69","0.63","0.49","0.76","-0.54","-","-","-","-","-","-","-","-","-","-","-","183008","1761516","47.92%","37.76%","10.16%","67","79%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AMD.US","美國超微公司","美股","495.540","-8.350","-1.66%","+0.01%","+149.49%","+131.39%","490.000","490.390","2300","100","27589331","13706884755","0.000%","508.000","503.890","510.210","486.660","1.72%","-0.05%","4.67%","162.47","187.00","12.53","0.78","91.67%","509.660","490.000","488.990","+1.15%","-1.12%","-1.32%","861375999","539253124","2.57","1.53","+5.770","-5.540","-6.550","808027840650","794551455920","1630600639","1603405287","+19.68%","+10.54%","+53.32%","+130.23%","+339.07%","半導體","0.41","0.65","0.60","0.51","0.73","-0.48","-","-","-","-","-","-","-","-","-","-","-","325284","3190926","73.79%","88.94%","-15.15%","87","98%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"NVDA.US","英偉達","美股","212.600","-2.260","-1.05%","+0.14%","+16.51%","+14.00%","211.700","211.750","1300","700","167601172","35476344416","0.020%","214.120","214.860","214.150","208.780","0.72%","-0.16%","2.50%","32.56","43.39","26.32","0.91","30.00%","213.640","211.701","211.070","-0.57%","-0.42%","-0.72%","1177803308","4023715836","1.39","0.49","-1.220","-0.899","-1.530","5144920000000","4960147506325","24200000000","23330891375","-3.63%","-3.71%","-0.27%","+17.17%","+57.74%","半導體","0.35","0.71","0.65","0.38","0.70","-0.54","-","-","-","-","-","-","-","-","-","-","-","3663122","16248325","42.58%","40.06%","2.52%","30","48%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"INTC.US","英特爾","美股","121.770","-1.750","-1.42%","+0.69%","+167.63%","+230.00%","119.430","119.700","100","700","93323344","11195992947","0.000%","124.390","123.520","125.270","117.000","1.86%","0.02%","6.70%","虧損","虧損","5.49","0.76","-75.00%","124.860","119.700","118.650","+1.08%","-1.70%","-2.56%","517463225","460881567","2.83","2.14","+1.340","-2.070","-3.120","612016020000","610871984274","5026000000","5016604946","+9.90%","+0.96%","+44.07%","+180.12%","+497.79%","半導體","0.41","0.51","0.49","0.47","0.60","-0.43","-","-","-","-","-","-","-","-","-","-","-","434320","5713419","85.70%","90.20%","-4.51%","79","96%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ASML.US","阿斯麥","美股","1597.870","-34.160","-2.09%","-0.17%","+12.49%","+49.88%","1596.000","1601.000","20","10","1363624","2191120444","0.480%","1637.350","1632.030","1639.130","1583.000","0.35%","-0.08%","3.44%","53.15","55.62","25.43","0.87","33.33%","1637.820","1596.000","1607.650","+0.35%","-0.12%","+0.61%","114539003","26191130","1.90","0.64","+5.790","-1.870","+9.780","615847324374","615519070744","385417665","385212233","+9.49%","+5.06%","+15.41%","+44.62%","+115.72%","半導體設備與材料","0.45","0.66","0.62","0.52","0.76","-0.52","-","-","-","-","-","-","-","-","-","-","-","17784","170681","50.59%","53.75%","-3.16%","62","80%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AVGO.US","博通","美股","421.860","-0.150","-0.04%","+0.02%","+32.60%","+22.15%","420.240","421.000","40","40","17601013","7429441689","0.570%","425.070","422.010","432.800","416.490","0.38%","0.12%","3.87%","82.23","88.44","25.01","0.96","0.00%","425.270","420.300","420.280","+0.77%","-0.37%","-0.37%","234342506","416671766","3.08","0.98","+3.260","-1.560","-1.580","1997367120102","1949691930093","4734668184","4621656308","+2.62%","+0.61%","+5.51%","+11.00%","+77.62%","半導體","0.38","0.72","0.64","0.44","0.74","-0.52","-","-","-","-","-","-","-","-","-","-","-","242836","1909489","58.60%","39.65%","18.95%","67","87%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MSFT.US","微軟","美股","412.670","-3.360","-0.81%","+0.03%","+3.77%","-14.29%","414.420","414.600","920","80","28901479","11934971790","0.840%","411.010","416.030","415.940","409.580","0.39%","-0.01%","1.53%","24.58","30.25","7.40","0.93","84.00%","411.060","414.500","414.060","-1.19%","+0.44%","+0.34%","838618676","1372587140","1.12","0.89","-4.970","+1.830","+1.390","3065492149300","3063106393847","7428434704","7422653437","-0.92%","+1.42%","-3.65%","-15.41%","-9.05%","基礎設施軟件","0.41","0.64","0.60","0.34","0.42","-0.48","-","-","-","-","-","-","-","-","-","-","-","606003","3931498","30.11%","23.09%","7.02%","49","67%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
