"代碼","名稱","市場","最新價","漲跌額","漲跌幅","5分鐘漲跌幅","60日漲跌幅","年初至今","買入價","賣出價","買量","賣量","成交量","成交額","股息率TTM","開市","前收","最高","最低","換手率","漲跌速率","振幅","市盈率TTM","市盈率(靜)","市淨率","量比","委比","盤前價","盤後價","夜盤價","盤前漲跌幅","盤後漲跌幅","夜盤漲跌幅","盤前額","盤後額","盤前振幅","盤後振幅","盤前漲跌額","盤後漲跌額","夜盤漲跌額","市值","流通值","總股本","流通股","5日漲跌幅","10日漲跌幅","20日漲跌幅","120日漲跌幅","250日漲跌幅","所屬行業","道瓊斯指數相關性","納斯達克100相關性","標普500相關性","羅素2000相關性","費城半導體指數相關性","VIX指數相關性","恒生指數相關性","恒生科技指數相關性","富時中國50指數相關性","滬深300相關性","富時中國A50指數相關性","日經225相關性","TOPIX指數相關性","富時海峽指數相關性","大馬綜合指數相關性","TSX相關性","ASX200相關性","期權總成交","期權總持倉","正股IV","正股HV","正股IV-正股HV","IV等級","IV百分位數","行使價","到期日","未平倉數量","溢價","引伸波幅","Delta","Gamma","Theta","Vega","Rho","距離到期日","內在價值","時間價值","槓桿比率","有效槓桿","盈虧平衡點","達到盈虧平衡","盈利概率"
"SOFI.US","SoFi Technologies","美股","16.170","+0.190","+1.19%","+0.12%","-12.07%","-38.24%","16.240","16.250","19900","100","66232348","1081335266","0.000%","16.050","15.980","16.690","16.010","5.24%","-0.19%","4.26%","35.93","41.46","1.92","1.11","99.00%","16.050","16.240","16.170","+0.44%","+0.43%","0.00%","36397148","17587478","1.94","0.93","+0.070","+0.070","0.000","20741925204","20424948332","1282741200","1263138425","+6.17%","+1.70%","-11.93%","-45.21%","+21.40%","信貸","0.53","0.55","0.58","0.63","0.45","-0.49","-","-","-","-","-","-","-","-","-","-","-","361245","4345884","55.62%","69.85%","-14.23%","11","10%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BAC.US","美國銀行","美股","51.100","-1.100","-2.11%","-0.16%","+3.17%","-6.57%","51.000","51.170","1100","1700","48581474","2494646299","2.150%","52.390","52.200","52.490","50.760","0.69%","-0.26%","3.31%","12.68","13.41","1.32","1.34","-21.43%","52.290","51.170","51.120","+0.17%","+0.14%","+0.04%","3503467","383183692","0.59","0.33","+0.090","+0.070","+0.020","362635782266","361233480021","7096590651","7069148337","+0.79%","+0.63%","-2.96%","-2.88%","+18.59%","多元化銀行","0.58","0.37","0.50","0.55","0.31","-0.47","-","-","-","-","-","-","-","-","-","-","-","168719","2480660","27.51%","21.11%","6.40%","27","40%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"GS.US","高盛","美股","996.470","+1.950","+0.20%","+0.14%","+15.64%","+13.96%","990.000","997.000","40","880","2197548","2182696661","1.560%","995.910","994.520","1003.650","974.420","0.75%","0.08%","2.94%","18.20","19.42","2.69","0.96","-91.30%","999.440","993.042","994.860","+0.49%","-0.34%","-0.16%","17468807","47105856","1.19","0.63","+4.920","-3.429","-1.610","293966044804","292222600962","295007421","293257801","+7.29%","+5.35%","+7.55%","+22.88%","+67.17%","資本市場","0.73","0.57","0.68","0.69","0.51","-0.62","-","-","-","-","-","-","-","-","-","-","-","27012","386427","31.56%","29.27%","2.29%","30","59%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"V.US","Visa","美股","327.610","+1.130","+0.35%","-0.20%","+2.43%","-6.20%","327.140","327.610","80","40","5919068","1946690206","0.770%","325.830","326.480","331.460","325.660","0.36%","-0.01%","1.78%","28.56","32.12","17.40","0.65","33.33%","325.580","327.600","327.680","-0.28%","-0.00%","+0.02%","4229959","68377805","0.77","0.26","-0.900","-0.010","+0.070","620646647393","546198617111","1894467957","1667222054","-0.70%","+0.36%","+6.14%","-0.20%","-8.21%","信貸","0.57","0.29","0.42","0.35","0.14","-0.38","-","-","-","-","-","-","-","-","-","-","-","18949","422067","23.24%","32.41%","-9.17%","35","34%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"BRK.B.US","伯克希爾-B","美股","479.920","-3.700","-0.77%","-0.09%","-0.05%","-4.52%","479.900","480.110","120","720","4152532","1998368706","0.000%","482.665","483.620","486.250","479.020","0.24%","0.02%","1.50%","14.29","15.46","1.42","0.93","-71.43%","482.970","480.000","480.280","-0.13%","+0.02%","+0.08%","15697253","86463330","0.48","0.15","-0.650","+0.080","+0.360","1035117456626","832592896346","2156854177","1734857677","-0.11%","-1.04%","+0.37%","-5.28%","-4.61%","多元化保險","0.49","0.10","0.28","0.34","0.01","-0.30","-","-","-","-","-","-","-","-","-","-","-","34230","569360","16.33%","13.22%","3.12%","38","32%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"JPM.US","摩根大通","美股","299.280","-7.460","-2.43%","+0.11%","+1.09%","-6.22%","299.000","299.210","640","120","11785439","3523945831","1.970%","305.000","306.740","305.900","295.750","0.44%","0.04%","3.31%","14.33","14.95","2.20","1.50","68.42%","304.920","299.200","299.630","-0.59%","-0.03%","+0.12%","77268467","252581630","1.77","0.27","-1.820","-0.080","+0.350","801924177179","797655983488","2679511418","2665249878","+1.21%","-1.84%","-3.91%","-1.86%","+15.79%","多元化銀行","0.64","0.39","0.52","0.53","0.33","-0.49","-","-","-","-","-","-","-","-","-","-","-","73793","689350","25.56%","22.01%","3.55%","26","45%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"CRML.US","Critical Metals","美股","11.580","-0.160","-1.36%","-0.64%","+7.02%","+66.86%","11.530","11.570","200","2800","6646719","75766028","0.000%","11.470","11.740","11.735","11.080","9.80%","-0.43%","5.58%","虧損","虧損","10.64","0.65","-86.67%","11.430","11.540","11.410","-2.64%","-0.35%","-1.47%","3902505","957879","4.09","1.90","-0.310","-0.040","-0.170","1531205926","785711002","132228491","67850691","+18.16%","-2.11%","-2.36%","+41.22%","+715.49%","其他工業金屬與採礦","0.24","0.25","0.27","0.34","0.24","-0.23","-","-","-","-","-","-","-","-","-","-","-","19574","220655","122.39%","106.90%","15.49%","10","19%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"UAMY.US","United States Antimony","美股","9.240","+0.430","+4.88%","+0.49%","-13.24%","+84.06%","9.150","9.200","100","3500","10257300","92238179","0.000%","8.500","8.810","9.260","8.430","7.83%","0.49%","9.42%","虧損","虧損","10.38","0.80","-94.44%","8.500","9.160","9.190","-3.52%","-0.87%","-0.54%","1513096","657284","3.97","1.52","-0.310","-0.080","-0.050","1369235147","1209929222","148185622","130944721","+24.19%","-12.00%","-14.52%","+72.39%","+281.82%","其他工業金屬與採礦","0.25","0.29","0.31","0.37","0.23","-0.25","-","-","-","-","-","-","-","-","-","-","-","21951","276249","124.25%","124.47%","-0.22%","19","30%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AREC.US","American Resources","美股","2.310","+0.070","+3.13%","-1.49%","-27.81%","-6.85%","2.300","2.310","100","100","3217517","7321054","0.000%","2.210","2.240","2.360","2.180","3.75%","-0.86%","8.04%","3.67","3.67","2.61","0.63","0.00%","2.220","2.310","2.290","-0.89%","-0.01%","-0.87%","197722","86707","4.46","3.03","-0.020","-0.000","-0.020","247103638","197981705","106971272","85706366","+19.07%","-4.15%","+7.44%","-19.23%","+255.38%","焦炭","0.20","0.23","0.24","0.27","0.21","-0.20","-","-","-","-","-","-","-","-","-","-","-","2253","65063","119.89%","79.95%","39.93%","4","18%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MP.US","MP Materials","美股","65.210","-1.780","-2.66%","+0.54%","+2.32%","+29.08%","65.000","65.590","1000","100","5072178","330958544","0.000%","67.210","66.990","67.300","64.080","3.53%","-0.09%","4.81%","虧損","虧損","5.90","0.65","81.82%","66.790","65.200","64.390","-0.30%","-0.02%","-1.26%","10190165","7115791","2.78","1.23","-0.200","-0.010","-0.820","11608618403","9371958963","178018991","143719659","+18.71%","-0.58%","+5.69%","+7.18%","+232.70%","其他工業金屬與採礦","0.27","0.29","0.29","0.39","0.30","-0.23","-","-","-","-","-","-","-","-","-","-","-","15720","412994","76.83%","71.94%","4.89%","32","62%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
